,content
question,Investments Coffee Meets Investing Asked by AnonymousAsked on 07 Jul 2018What are the options for girls if we don't have army and are not eligible for the MINDEF/MHA Aviva Group Insurance?Halp6 answersAnswerBump0
0,Answers (6)Sort By Most UpvoteMost UpvoteMost Recent
1,"Choon Yuan ChanLevel 4. ProdigyAnswered on 29 Jul 2018If you are public servant working in the govt sector, you are eligible for the Public Officer Group Insurance Scheme. It is a similar Term insurance to MHA/AVIVA.​Link: https://income.com.sg/insurance/life-insurance/term-life-insurance/pogis​If you are a female but working in the private sector, I do not think there are any group insurance avaliable for you, other than your company. I will advise purchasing a term insurance from insurance companies. NTUC income has an afforable term policy for female. It is better off than buying whole life recommneded by insurance agents normally.​0 comments1"
2,"Cherie Julianne TanLevel 6. MasterUpdated on 07 Jun 2019Haha, thanks for making us all laugh!​There are many other term insurance available and they are quite affordable as well. Seedly did a comparison of the direct purchase term insurance here: https://blog.seedly.sg/singaporean-comparison-term-life-insurance/​Or if you want to tap on the benefits, find a husband haha (just for laughs, don't kill me)1 comment1"
3,"Choon Yuan Chan29 Jul 2018Hi Cherie, your artice missed out the public officer insurance scheme which is applicable to all public servants. It is another low cost scheme which about 20% of Singaporeans/PR have access to"
4,Alan KorLevel 5. GeniusAnswered on 06 Aug 2018Basically get term insurance if you have dependents. The premiums are affordable for adequacy of coverage.​​0 comments0
5,"Jonathan Chia GuangrongLevel 6. MasterAnswered on 28 Jul 2018There are other group term insurance schemes available. For eg, if you are an ntuc member, you are eligible for a small sum assured with ntuc income. Off hand I can't think of others but do think there are some other complementary ones.                                                    Or alternatively, if you are already dating a guy who's been through ns via SAF or home team, you can tap on as a spouse into the scheme after marriage (provided he's already into it). Your future kids will also be eligible 0 comments0"
6,"Bang HongLevel 4. ProdigyAnswered on 20 Jul 2018Go for further studies or work.​There are also short camps for girls to experience army, opened now!0 comments0"
7,Frank Yi Ph'ngLevel 2. RookieUpdated on 07 Jun 2019Hey there can pm me if you need help 😀1 comment1
8,"Kenneth Lou29 Jul 2018DeleteEditYo bro, not cool man :( please provide your value and solutions upfront. Usually the most successful financial people here are the ones who actually are willing to craft out a thought out response to help the person asking. And if there is really so much value there, then he/she will choose to contact you. We’ve seen that happen again and again and it is the right way to “advise” on financial planning :) thanks man."
