,content
question,"Investments Savings Retirement Asked by Linda TanAsked on 29 Mar 2019Any tips for me to retire by 60 with $1,000,000 by saving $1,000 each month?I am currently in my 20s. What should I do with this $1,000 every month if I would like to grow the sum up to $1m by the time I retire?11 answersAnswerBump8"
0,Answers (11)Sort By Most UpvoteMost UpvoteMost Recent
1,"Clarence Chua, Financial Planning Specialist at Prudential Assurance SingaporeTop Contributor (Sep)Level 7. Grand MasterAnswered on 12 Apr 20191,000,000 adjusted with inflation or just 1,000,000 will do?If you want just 1,000,000 (not adjusted for inflation), its very easy to achieve that with a balanced and properly managed portfolio of about 4.4% annual returns yearly for about 35 years. And you can do that through various financial instruments.But by then 1,000,000 will be worth probably around 300,000 only.So if you want 1,000,000 in today’s value, as a young early 20s adult. It is important to decide your portfolio strategy and constantly have it reviewed. 
It is also important to keep it protected.Think about the portfolio (Capital gains, Income generation, Property, businesses, Etc) you want and constantly review it and change it to adapt your life stages and expectations.0 comments8"
2,"Henry Hoe Yong ZhiLevel 3. WonderkidUpdated on 07 Jun 2019I'm not sure of your education level. To you right now $1,000 seems like it's the acceptable amount that you can achieve in your savings goal. But if you are like many singaporeans who have a degree, most of them if not spenders could easily save more than $1,000 a month.In fact many Singaporeans can achieve a networth of $1,000,000 in their lifetime, so it's not a big feat actually, especially when we have one of the highest concentration of millionaires in the world in our country.Why would you want to have 1mil when you're 60 when it is possible for you to achieve that when you're 40 or 45 and enjoy more of the rest of your life while you still have energy to do so?My tip is to aim bigger. Even if you fall short of your goal, it's still something you're happy with.1 comment5"
3,"Linda Tan01 Apr 2019Where do you think I should place this $1,000. Should I buy stocks?"
4,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomUpdated on 30 Jul 2019If you're 25 now, you just need to have your 1k per month compound at 4.6% annually to achieve 1m in 35 years.You can do this easily with a balanced globally diversified portfolio of funds.You can set this up with a FA or a Robo Advisor or of course DIY.2 comments5"
5,"Linda Tan01 Apr 2019Any tips on where to invest this?Hariz Arthur Maloy01 Apr 2019I can set up a globally diversified portfolio for you, or you can go through a robo advisor. If you prefer robo, there are platforms I distribute and partner with as well. Some of them have minimum amounts to enter though."
6,"Alvyn KianLevel 2. RookieUpdated on 01 Jul 2019Invest in DBS stock. share price is escalating annually and dividends are also growing. At the current dividend you are getting $0.30 for each quarter (3months) which u hold the stock. It means a yield of 4.6% annually. Each $100,000 u hold in the stock will pay u almost $1150 a quarter for life. if u check the dividend payout the dividends are also increasing annually as the bank grows. They have branches all over Asia from Singapore to China.
I invested $50,000 in this stock back In 1999 and now in 2019 the value of my holdings has balloon to $250,000. Back then I was only getting $600 a quarter in dividends. Now I am getting almost $2700 each quarter.dividends are great....they reward u in cash for saving and investing. U can use the money each quarter to buy more stock or simply give yourself a treat Like a staycation or a new handphone. Each year I get around $11000 in dividends and I use the money to travel1 comment2"
7,Josh Ng01 Jul 2019Nice call sir
8,"Luke Ho, Kick-Ass Financial Services Consultant at Trillion Financial PlannersLevel 6. MasterUpdated on 30 Jul 2019Here's an idea, since Clarence already pointed out the very conservative approach you can do. I wrote this article for this kind of scenario.
https://www.moneymaverickofficial.com/post/why-you-should-invest-aggressively-now-and-how-you-still-can-have-peace-of-mind
Take an aggressive approach. Statistically, any portfolio that has a 20 year horizon or above, with Dollar-Cost-Averaging like yours ($1000/mth or $12000 a year) can afford to go 100% equities.
You have a couple of options (non-inflation adjusted)1) Take riskier, concentrated positions and go for 13% or higher annualized - you'll have about $1mil in less than 20 years.
2) Take a diversified global portfolio option but with 100% equities. With rebalancing that I offer on my end, you could try for a decent 8% net of fees easily. So again, you could get $1mil in about 20 years, letting it roll for 7 more years for considerable less risk. I would recommend this option if you don't have a lot of investment experience.In any case, you can see from both cases that you can retire well before 60. To cope with inflation, we can turn your lump sum into a variable annuity - meaning that we'll strategically calculate how much money should be withdrawn along with your dividend to match inflation and you'll be dead before the entire sum is used up. We'll also adjust your portfolio as you get older to make this end result more favorable.
Go big, since you're already starting so young and investing an amount that's pretty high for your age. For illustration, here's a successful recipient of example number 1 - his capital was $12,000 in December 2018, and it's this much now. Do feel free to contact me if you'd like help, as I'm an investment specialist.https://www.facebook.com/luke.ho.540 comments1"
9,"Josh Tan Jian Liang, Co-founder https://theastuteparent.com at Promiseland Independent Pte LtdLevel 4. ProdigyUpdated on 30 Jul 2019Hi Linda,To get to this $1m in 30years plus with $1,000 seems doable based on some of the math done already for you. A diversified investment portfolio will do 4-6%pa and match that objective perfectively.I'd focus the answer instead on ""what should you do""And it starts with reframing the approach $1,000/m for next 30years.For the next 30years, the journey is not going to be linear. Your income will likely increase at some stage and decrease at some stage.For the next 30years there will be major purchases made such as house and major changes such as a child or a sick parent.Hence, will the $1,000/m to reach $1m become a pure mathematical projection?What should you do?1) Save more when you earn more. Spend your effort to upgrade and earn more. And then actively increase your invested amounts2) Track your progress and plan to hit ahead of time because things happen. A prudent businessman checks his accounts at least every month if not every week.3) Find out what really motivates you to hit the $1m mark and what you'd do to stay satisfied once you it that. Pin that up onto your cupboard or your desktop.I've an article that you may find interesting and it's on financial independence. I wish you all the best. https://www.theastuteparent.com/2019/04/financial-independence-fatfire/0 comments1"
10,"Sarah Chan, Business Administration at NUSLevel 6. MasterUpdated on 30 Jul 2019Hi Linda,Great question! I'm sure there are plenty of fellow Singaporeans with dreams and plans to retire a millionaire or get that pot of gold ASAP. My only tip for you is: be patient & let the art of compounding do the trick for you.Compounding can take place over these 2 verticals of Personal Finance: Investments & Savings. We've got plenty of Seedly articles breaking compounding down and summarizing the 2 named verticals of Personal Finance. Here are the top few I would recommend you to do a quick read on!Compound Interest: A Ridiculously Easy Way to Get RichThe Ultimate Guide to Investing in SingaporeCheat Sheet: Investment Products at a GlanceInvestment Products That Require Less Than $1,000 for Working Adults to InvestCheatsheet: Best Savings Account for Working AdultsDo sit down with a financial advicer/planner (or DIY it yourself) to sort out your financial goals and plans for the future. Question your risk appetite & how much capital you're willing to fork out.I hope this helps and all the best! :-)0 comments1"
11,"Allan Lee, Financial Planner at Axa SingaporeLevel 2. RookieAnswered on 09 Apr 2019With a savings of $1,000/month, you're considered healthy in this sense. Perhaps you can look into AXA's AXA Wealth Treasure to grow your money there, a guaranteed 100% start up bonus might bring you to $1,000,000 before you turn 60. You also get to invest in stuffs which are not accessible to the retail investors. Hit me up if you've any burning questions.0 comments1"
12,"Wang WeiduoLevel 2. RookieUpdated on 07 Jun 2019I would like to recommend moderately conservative to balanced portofolio for AXA Wealth treasure. By that portofolio, you will be able to achieve a million in 25-30 years time. Investments will be of mutual funds offered by AXA  and numerous financial institutions. You can look up on the official website or have a discussion with me.1 comment2"
13,"Andrew Fong05 Apr 2019Wow, your conservative portfolio is able to achieve an IRR of 6% per annum?"
14,"Andrew Fong, Associate Partner at St. James's Place Wealth ManagementLevel 3. WonderkidUpdated on 07 Jun 2019If you save $1,000 a month for 30 years, you will be able to achieve that target sum of $1,000,000 but only if you place the money in a financial instrument that will give you returns of approxiamately 6% per annum.Key point: you will have to invest the $1,000 a month as the bank interest alone (based on current rates) will not be enough.3 comments1"
15,See all 3 comments Andrew Fong01 Apr 2019Something like the MSCI World ETF as this has given an average of 8%+ per annum long term (https://www.ishares.com/us/products/239696/ishares-msci-world-etf) but this you shouldn't just buy in and leave this unmonitored (as with any investment).Linda Tan01 Apr 2019Got it! will look into it
16,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterUpdated on 07 Jun 2019Manage an options portfolio. Contribute 5k USD to your account every year and grow it at 40% compounded a year and you will surpass the one million mark by the end of year 13. Best to find a mentor to guide you before you embark on this though3 comments1"
17,"See all 3 comments Jonathan Chia Guangrong01 Apr 2019Hi Linda. As I mentioned, it will be best if you find a mentor to guide you on how to manage an option portfolio due to the amount of risk involved. You can find a list of mentors/trainers here: https://www.eventbrite.sg/d/singapore--singapore/option-trading/?page=1 go attend the free previews and find one that you believe is the best person to guide you to your financial/investment goals. Everyone have their own person who think is the best and its the same for me as well. The reason why I mentioned about finding a mentor is that managing options can be risky and you ca... (more)Linda Tan01 Apr 2019Thanks for the response Jonathan :)"
